en.d v%C3%A4gledningens 1 5922
en en 2
hy %D5%86%D5%AB%D5%AF%D5%B8%D5%AC%D5%A1%D5%B5_%D5%85%D5%B8%D6%82%D5%A4%D5%A5%D5%B6%D5%AB%D5%B9 1 15086
ja %E9%B6%B4%E5%B2%A1%E5%89%A3%E5%A4%AA%E9%83%8E 1 11921
sk Kateg%C3%B3ria:Hudobn%C3%A9_skladby 1 9226
en Fishy_Joe%27s 1 11986
de Svenja_Bazlen 1 16376
en JTNews 2 17180
nl Hern%C3%A1n_Dar%C3%ADo_G%C3%B3mez 1 12837
fr RobotC 3 29572
ro Discu%C8%9Bie_Utilizator:89.42.200.76 1 7925
pl.mw pl 220514 3150470488
commons.m Special:WhatLinksHere/Category:Cloudland,_Fortitude_Valley 1 5622
pl Pasmo_Mas%C5%82owskie 1 8112
ru %D0%A1%D0%B0%D1%80%D0%B3%D0%B0_(%D0%9C%D0%B0%D0%BD%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D1%83%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) 1 76421
en.d laired 1 6647
fr Joachim_Lafosse 2 24290
en Special:Export/7.62_mm_caliber 1 9360
es Discusi%C3%B3n:Nomingia 1 0
nl.d Bestand:nl-vissoep.ogg 1 6109
vi Nh%E1%BB%AFng_sinh_v%E1%BA%ADt_l%E1%BB%9Bn_nh%E1%BA%A5t 1 18553
www.wd Q37100 1 278019
nl Wereldkampioenschappen_schoonspringen_2009_%E2%80%93_3_meter_plank_vrouwen 1 12786
uk %D0%A1%D0%B0%D1%80%D1%96%D0%BD%D1%8C%D1%8F 1 17302
fr.d Sp%C3%A9cial:Pages_li%C3%A9es/bambalees 1 5788
www.wd Q639942 1 10087
no Pinsekirken_Tabernaklet_Skien 2 17962
en 6_Guns 1 12790
en Organic_ether 1 85328
de Darmentleerung 1 16296
de Debellatio 1 9153
cs Vladim%C3%ADr_Min%C3%A1%C4%8D 1 18017
ar %D8%A8%D9%88%D8%AC%D9%85%D8%B9%D8%A9_%D8%A8%D9%88%D8%B1%D8%B7%D8%A7%D9%84 1 55338
en Gleaner_Company 1 15889
cs Josef_Jaroslav_Langer 1 10739
hr Elektronegativnost 3 46417
de FC_Schalke_04/Namen_und_Zahlen 1 38439
ru %D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%A5%D0%B0%D0%BD%D1%8B_%D0%AF%D0%BF%D0%BE%D0%BD%D0%B8%D0%B8 2 23776
ar %D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D9%85%D9%88%D8%A7%D9%82%D8%B9_%D9%88%D9%8A%D8%A8_%D8%B7%D9%8A%D8%B1%D8%A7%D9%86 1 7545
en Paignton 7 154375
es Mexipedium_xerophyticum 1 11119
de.d feme 1 6139
fr.d courgellier 1 7660
zh %E8%8B%8F%E8%BE%99 1 25905
fr.d %D0%BA%D0%B0%D0%B1%D0%B8%D0%BB%D3%99 1 7418
es Relaci%C3%B3n_estad%C3%ADstica 1 7406
fr Sp%C3%A9cial:Pages_li%C3%A9es/Discussion:Tr%C3%A9melle_m%C3%A9sent%C3%A9rique/%C3%80_faire 1 6029
pl Amestris 1 9287
nl Sjabloon:Wedstrijdschema_laatste_4 2 33688
commons.m Category:Sydney_Brenner 1 8640
commons.m File:Malmaison_chambre_Jos%C3%A9phine.jpg 1 10758
commons.m File:Clarkston_City_Annex,_2016.jpg 1 8851
de Indische_Rupie 10 256977
www.wd Special:EntityData/Q4857591.json 1 0
en Category:Deaths_in_the_Ottoman_Empire 1 6997
en Installation_testing 1 8243
fr.d nymphomane 6 64470
it Mausoleo 3 34944
tr Yenilmezler:_Ultron_%C3%87a%C4%9F%C4%B1 2 31300
de Raiko_Thal 2 17996
nds.b MediaWiki:Exif-exposureprogram-2 1 14855
en User_talk:68.56.182.25 1 8342
en List_of_pre-statehood_governors_of_California 1 17229
tr Cumhuriyet_(film) 1 11203
it Jean_Henri_Dunant 1 36869
el %CE%9C%CE%B1%CF%81%CE%B1%CE%BA%CE%B1%CE%90%CE%BC%CF%80%CE%BF 1 12548
nl Balogia 1 7841
es Especial:LoQueEnlazaAqu%C3%AD/Breteni%C3%A8res 1 6176
en David_Earl_Keith 1 6522
oc Noiridura 1 15158
fr.d poly- 3 40183
en.d ot%C5%8Dsan 1 5959
uz.b Maxsus:Contributions/Betta27 1 19949
en List_of_engineering_colleges_affiliated_to_Visvesvaraya_Technological_University 7 139203
de Titelkupfer 1 9027
es Danza_de_la_abeja 3 36444
en 2009_Washington_Redskins_season 1 37074
vi %C4%90%E1%BA%B7c_bi%E1%BB%87t:Li%C3%AAn_k%E1%BA%BFt_%C4%91%E1%BA%BFn_%C4%91%C3%A2y/Neosybra_costata 1 6037
fr Engystomops_pustulatus 1 11309
en File:Boris_Johnson_July_2015.jpg 112 1172976
ru %D0%97%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B5_%D0%B2%D0%BE%D0%B4%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D0%BB%D0%B8%D1%89%D0%B5 1 16580
en.d armiq%C3%ABsor 1 1129
fr Pagani_Huayra 6 91226
fr Tony_Joe_White 3 37374
en 3-Hydroxypropionic_acid 2 22660
ja %E7%89%B9%E5%88%A5:%E3%83%AA%E3%83%B3%E3%82%AF%E5%85%83/%E3%82%AC%E3%83%96%E3%83%AA%E3%82%A8%E3%83%A9%E3%83%BB%E3%83%89%E3%83%AA%E3%82%AA 1 8285
pl Plik%3AM%C5%82yn_wodny_z_XVIII_w._w_D%C4%85browie_G%C3%B3rniczej_%28kubos16%29174.JPG 1 47794
fr Cat%C3%A9gorie:XIIIe_si%C3%A8cle 1 18114
be %D0%90%D1%9E%D1%82%D0%B0%D0%BC%D0%B0%D1%82,_%D0%B7%D0%B1%D1%80%D0%BE%D1%8F 1 13433
en Special:MobileDiff/246142992 1 5298
en Muller_v._Oregon 12 159896
zh %E5%A5%AA%E5%91%BD%E6%8D%89%E8%BF%B7%E8%97%8F 3 33766
de DKE 1 7252
en Shelley_Memorial_Award 1 10636
nl Nationale_kampioenschappen_wielrennen 1 247804
en Gussie_Moran 2 29212
en Jimmy_Neutron:_Boy_Genius_(video_game) 1 13979
bs Kategorija:Rudarstvo_po_dr%C5%BEavama 1 7949
en Special:Export/Buga 1 1484
th %E0%B9%82%E0%B8%88%E0%B8%87%E0%B8%B1%E0%B9%88%E0%B8%87 2 27888
zh Special:%E5%89%8D%E7%BC%80%E7%B4%A2%E5%BC%95/User:%E6%9D%8E%E5%BA%86%E6%88%90/ 1 6249
en ABT-670 1 23314
de Datei:TurtleOman.JPG 2 21874
ru %D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%9F%D0%BE%D0%B8%D1%81%D0%BA/%D0%A1%D1%85%D1%80%D1%83%D1%81%D1%82%D0%B0%D1%82%D1%8C 1 7199
fr Drapeau_f%C3%A9d%C3%A9raliste 1 9301
ja %E7%89%B9%E5%88%A5:%E3%83%AA%E3%83%B3%E3%82%AF%E5%85%83/%E3%83%8E%E3%83%BC%E3%83%88:%E3%83%A9%E3%83%8E%E3%83%83%E3%82%AD%E3%82%AA%E3%83%BB%E3%82%A2%E3%83%B3%E3%82%B5%E3%83%B3%E3%83%96%E3%83%AB 1 7341
fr Jean-Pierre_Rosnay 2 37924
en Igirigi_APC 4 24289
en Special:WhatLinksHere/Reinforcement 1 37766
hu Egyszik%C5%B1ek 2 46570
de Sexuelle_Selektion 6 429515
en Palasi,_Rapla_County 1 9239
sv Kortikosteroid 1 9357
en Port_6000 1 6512
it Sfingolipidi 3 28308
en Municipalities_of_Northern_Savonia 1 8013
en Mechanic 10 89366
en New_York_state_elections,_2008 1 37477
en 1986%E2%80%9387_NBA_season 7 265095
en FINA_World_Swimming_Championships_(25_m) 1 33763
ru %D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_%D0%A4%D0%BB%D0%BE%D1%80%D0%B8%D0%B4%D1%8B 1 16914
nl Othon-Joseph_Vandenbroecke 1 9875
es Veh%C3%ADculo_de_combustible_alternativo 1 28712
en.d vicariato 1 702
en Churchgate_railway_station 1 15444
en Special:Search/Textile_Fabric_Checker 1 9069
pl Ozonoliza 1 9641
en Mochlotona 1 24546
fa %D8%B4%D9%87%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D8%A7%D8%B1%D8%B2%D9%88%D8%A6%DB%8C%D9%87 1 16828
de Spezial:ISBN-Suche/3795782066 2 31952
pt Fotonovela 1 12550
ar %D8%AE%D8%A7%D8%B5:%D8%A3%D8%AD%D8%AF%D8%AB_%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D9%88%D8%B5%D9%88%D9%84%D8%A9/%D9%88%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%B5%D8%B1%D8%A7%D8%AD_(%D8%A7%D9%84%D8%B3%D8%A8%D8%B1%D8%A9) 1 10926
pl Tranzystor_ostrzowy 1 8699
hr Knji%C3%83%C6%92%C3%A2%E2%82%AC%C2%A6%C3%83%E2%80%9A%C3%82%C2%BEebna_ve%C3%83%C6%92%C3%A2%E2%82%AC%C5%BE%C3%83%E2%80%9A%C3%82%C2%8Der 1 5598
en Category:Assassinated_Irish_politicians 1 7411
ru %D0%90%D0%B9%D1%8F-%D0%9D%D0%B0%D0%BF%D1%81%D0%BA%D0%BE%D0%B5_%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5 1 10774
pl Z%C4%99by_cz%C5%82owieka 32 765416
it PVN 1 7101
fa %D9%85%D9%84%D8%A7_%D9%85%D8%AD%D9%85%D8%AF%DA%A9%D8%A7%D8%B8%D9%85_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86%DB%8C 1 46434
en Dmitri_Hvorostovsky 5 80708
ru %D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BD%D0%B0%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D1%91%D0%BD%D0%BD%D1%8B%D1%85_%D0%BE%D1%80%D0%B4%D0%B5%D0%BD%D0%BE%D0%BC_%C2%AB%D0%A0%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%C2%BB 1 33407
he %D7%A9%D7%95_(%D7%90%D7%95%D7%AA) 2 23652
fr Langues_ouraliennes 1 24146
pt Silicone 5 67917
id Nigeria 3 52325
he %D7%A9%D7%A8%D7%95%D7%A0%D7%94_(%D7%9E%D7%95%D7%A9%D7%91) 1 12980
hu Het%C3%83%C6%92%C3%86%E2%80%99%C3%83%E2%80%A0%C3%A2%E2%82%AC%E2%84%A2%C3%83%C6%92%C3%A2%E2%82%AC%C5%A1%C3%83%E2%80%9A%C3%82%C2%A9nyi_Istv%C3%83%C6%92%C3%86%E2%80%99%C3%83%E2%80%A0%C3%A2%E2%82%AC%E2%84%A2%C3%83%C6%92%C3%A2%E2%82%AC%C5%A1%C3%83%E2%80%9A%C3%82%C2%A1n 1 5809
www.wd Special:EntityData/Q23597321.ttl 1 1106
en Jagjit_Singh 9 237294
en Gyrd_and_Gnupa 1 8867
en Lodger_(album) 18 363132
ru %D0%A6%D0%B8%D0%BC%D0%B5%D1%81 2 21958
pl Wendtorf 2 22408
zh %E9%82%A6%E5%B0%BC%E6%97%B6%E6%97%B6%E5%BD%A9%E5%B9%B3%E5%8F%B0%E5%8F%AF%E4%BF%A1%E5%90%97%E3%80%90%E6%80%BB%E4%BB%A3QQ460888108%E3%80%91%E6%8A%80%E5%B7%A7%E4%B8%8E%E5%AE%9E%E6%88%98%E6%94%BB%E7%95%A5%E9%87%91%E5%B0%8A%E5%9B%BD%E9%99%85%E8%AE%A1%E5%88%92%E8%BD%AF%E4%BB%B6%E5%93%AA%E4%B8%AA%E5%A5%BD%E4%B8%8A%E6%B5%B7%E4%B9%90%E4%BA%BF%E5%8F%91%E6%B8%B8%E9%87%8D%E5%BA%86%E6%B1%9F%E8%A5%BF%E5%A4%A9%E6%B4%A5%E5%AE%98%E6%96%B9%E5%A8%B1%E4%B9%90%E4%BC%98%E5%8D%9A66 1 8849
gl Mad_Max:_Fury_Road 1 15790
es Ciudad_de_Vancouver 1 0
en Special:Log/76.195.116.114 1 5834
www.wd Special:EntityData/Q23548103.ttl 1 1093
commons.m File:Museum_Park_20120502.JPG 1 11672
en.d siemens 2 23478
en Jack_Wheeler_(footballer,_born_1919) 1 15545
en Ernst_Busch_Academy_of_Dramatic_Arts 1 15427
www.wd Special:EntityData/Q23603566.ttl 1 1228
it Palio_di_Ferrara 4 56289
es Geograf%C3%ADa_f%C3%ADsica_de_Cantabria 1 20403
fi.d Toiminnot:T%C3%A4nne_viittaavat_sivut/Luokka:Viron_kielen_kaupungit 1 5427
fa %DB%8C%D8%A7%D8%AF%D8%A8%D9%88%D8%AF_%D9%85%D9%84%DB%8C_%D8%AE%D8%B1%D8%A7%D8%A8%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A2%D8%B2%D8%AA%DA%A9 1 16011
zh %E9%87%8D%E5%BA%86%E6%97%B6%E6%97%B6%E5%BD%A9%E5%9B%BE%E7%89%87%E3%80%90%E6%80%BB%E4%BB%A3QQ35767030%E3%80%91%E5%BC%80%E5%A5%96%E8%A7%86%E9%A2%91%E5%AE%98%E6%96%B9%E5%B9%B3%E5%8F%B0%E6%B1%9F%E8%A5%BF%E8%B5%B0%E5%8A%BF%E5%A8%B1%E4%B9%90%E9%AA%97%E5%B1%80%E5%8F%B7%E7%A0%81%E6%8A%80%E5%B7%A7%E5%9B%BE21 1 8628
ja %E7%89%B9%E5%88%A5:%E3%83%87%E3%83%BC%E3%82%BF%E6%9B%B8%E3%81%8D%E5%87%BA%E3%81%97/x2szzn2 1 2685
en Special:Export/Ahmed_Ragab 1 1988
www.wd Special:EntityData/Q23613919.ttl 1 1163
en Lincoln_Near-Earth_Asteroid_Research 1 122816
en Huon 1 7488
commons.m File:Child_and_ox_ploughing,_Laos_(2).jpg 1 11105
ja %E4%BC%8A%E8%97%A4%E5%8D%9A%E6%96%87 63 6397191
en Kavkaz_Center 3 39706
en Turntable.fm 3 46188
sl Vijoli%C4%8Dna 1 14138
en File:Dieter_Josef_Przewdzing_(retouched).jpg 1 11324
en Nick_Burdi 7 139966
de.d losschnallen 1 6152
ar %D8%AE%D8%A7%D8%B5:%D9%85%D8%A7%D8%B0%D8%A7_%D9%8A%D8%B5%D9%84_%D9%87%D9%86%D8%A7/%D9%85%D9%84%D9%81:Location_Equatorial_Guinea_AU_Africa.svg 1 6546
ms Nicos_Anastasiades 1 11461
en 1975_Haicheng_earthquake 1 12690
it.b Latino/Esercizi/Complementi 1 31159
es Foro_Econ%C3%B3mico_Mundial 6 184978
ru %D0%A1%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F:%D0%92%D0%BA%D0%BB%D0%B0%D0%B4/%D0%A5%D1%83%D0%B4..%D0%BD%D0%B8%D0%BA 1 10129
en Gepanzerter_Mannschaftstransportwagen_%27K%C3%A4tzchen%27 9 89120
ja %C3%83%E2%80%9A%C2%B3%C3%A3%C6%92%C2%BC%C3%A3%E2%80%9A%C2%B8%C3%A3%E2%80%9A%C2%AA%C3%A3%C6%92%C2%BB%C3%A3%C6%92%E2%80%A1%C3%A3%E2%80%9A%C2%A3%C3%A3%C6%92%C2%BB%C3%A3%E2%80%9A%C2%A2%C3%A3%C6%92%C6%92%C3%A3%C6%92%C2%AD%C3%A3%C6%92%C2%BC%C3%A3%E2%80%9A%C2%B7%C3%A3%C6%92%C2%A3 1 7037
en Special:Contributions/Sapibobo 1 9753
hy.q %D5%8D%D5%BA%D5%A1%D5%BD%D5%A1%D6%80%D5%AF%D5%B8%D5%B2:%D4%B1%D5%B5%D5%BD%D5%BF%D5%A5%D5%B2%D5%B0%D5%B2%D5%BE%D5%B8%D5%B2%D5%A7%D5%BB%D5%A5%D6%80%D5%A8/%D5%84%D5%A1%D5%BD%D5%B6%D5%A1%D5%AF%D6%81%D5%AB_%D6%84%D5%B6%D5%B6%D5%A1%D6%80%D5%AF%D5%B8%D6%82%D5%B4:%D4%BC%D5%B8%D6%82%D5%BD%D5%AB%D5%B6_%D5%93%D5%A1%D5%AD%D5%A1%D5%B6%D5%B5%D5%A1%D5%B6 1 28178
ar %D9%84%D8%BA%D8%A9_%D8%A5%D9%86%D8%AF%D9%88%D9%86%D9%8A%D8%B3%D9%8A%D8%A9 1 19032
tr Freyja 1 14523
en Special:Export/Chakana 1 5374
en Steve_Owens_(American_football) 1 18185
ru %D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%91%D1%80%D0%BE%D0%BD%D0%B5%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B0_%D0%A1%D0%A8%D0%90_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%B0_%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B 2 19916
nl Speciaal:RecenteWijzigingenGelinkt/Albulina_felicis 1 6599
de Mail_Art 2 28809
www.wd Special:EntityData/Q18317626.ttl 5 6100
ja %E7%89%B9%E5%88%A5:%E3%83%87%E3%83%BC%E3%82%BF%E6%9B%B8%E3%81%8D%E5%87%BA%E3%81%97/%E3%81%B6%E3%81%A3%E3%81%8B%E3%81%91%E3%82%B9%E3%83%9A%E3%83%AB%E3%83%9E245%E7%99%BA4%E6%99%82%E9%96%93 1 2685
en Adobe_After_Effects 43 1023820
it Speciale:ModificheCorrelate/Guerre_romano-puniche 1 7234
en Ashfield,_Pennsylvania 1 10255
pl Refleksje_na_temat_bada%C5%84_terenowych_w_Maroku 1 8536
en John_F._Kennedy_High_School_(Warren,_Ohio) 1 13046
en Make_It_Big 7 145614
ru %D0%AF%D1%83%D1%87%D0%B8%D0%BC%D0%BC%D0%BE%D0%BD_(%D0%BE%D0%BA%D1%80%D1%83%D0%B3) 1 18245
uk %D0%A0%D0%B0%D0%B4%D0%B8%D1%89%D0%B5%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87 1 71104
en Special:MobileDiff/681728498 1 5312
